Latitude,Longitude,Depth,Magnitude,Magnitude Type
36.514,141.229,40,5.7,0
-0.224,-18.645,10,6.1,1
6.553,126.903,110,5.9,1
30.887,-41.479,10,6,1
25.449,125.319,94.7,5.7,0
-7.058,129.347,160,5.6,0
-18.855,-177.721,430,6.5,1
53.909,160.579,45,6,1
-7.225,129.12,147.9,5.8,0
-6.193,130.402,133.3,6.5,1
51.936,-176.092,55,5.7,0
51.361,-179.716,25,5.9,1
2.983,124.831,20,6.2,1
51.42,-179.7,30,5.6,0
-8.666,111.103,55,5.8,0
33.011,141.079,60,5.6,0
-9.611,159.797,70,5.8,0
-45.847,-72.958,25,6.2,1
36.096,27.318,77.4,5.9,1
-4.841,103.103,60,5.8,0
51.101,-170.604,15,5.8,0
52.612,173.14,35,5.6,0
18.919,-107.176,25,6.7,1
-6.458,146.298,122.5,6.3,1
-37.199,177.558,175,6,1
17.135,-100.126,35,6.4,1
-18.108,-178.062,645,6.2,1
-11.292,166.143,52.8,5.9,1
44.688,149.939,29.2,6,1
44.757,150.195,23.1,5.6,0
-56.722,-141.439,15,5.8,0
7.65,-81.913,25,6.3,1
52.293,160.356,26.9,5.8,0
58.335,-153.303,52.4,6.1,1
60.481,-140.766,20.1,5.6,0
-18.096,-178.979,621.8,6.2,1
-5.201,151.583,80.1,5.9,1
27.863,141.992,45,5.8,0
54.21,-164.476,35,5.6,0
-16.673,-71.111,100,5.8,0
13.248,95.42,25,5.8,0
0.586,120.141,35,5.9,1
33.675,137.244,15,6,1
52.829,172.048,22.5,5.7,0
52.764,172.058,22.5,5.8,0
37.883,138.151,10,5.8,0
55.956,-153.942,20,6.2,1
30.013,69.606,10,5.8,0
-59.548,-26.465,60,5.6,0
-17.114,168.559,10,6,1
51.514,157.119,115.6,5.6,0
-24.837,-64.413,25,5.7,0
0.211,123.555,158.6,5.7,0
16.709,119.973,61.1,5.7,0
24.13,121.966,25,5.8,0
-15.899,167.914,180,6.4,1
39.093,21.777,10,6.2,1
26.246,103.187,10,6.4,1
50.023,155.506,119.4,5.9,1
29.956,69.761,10,6.5,1
30.276,70.041,10,6.5,1
-56.79,-25.965,40,6.3,1
-9.851,116.376,45,5.8,0
31.193,142.001,35,5.8,0
20.711,146.163,45.7,6.5,1
-6.561,132.642,35,6,1
26.12,103.222,10,5.9,1
-17.67,168.021,35,6.6,1
-32.265,78.866,15,6.6,1
-32.233,78.999,15,5.7,0
6.709,123.842,35,5.9,1
-55.495,-27.079,15,6,1
26.14,125.744,120,5.6,0
-5.388,151.592,35,6.9,1
-15.404,-172.843,20,6,1
52.55,173.462,35,5.6,0
43.691,139.738,217.6,5.6,0
29.244,130.344,45,6,1
-25.983,-70.328,64.7,5.7,0
